YEAR,ST,STATE,RESIDENTIAL,COMMERCIAL,INDUSTRIAL,OTHER,TOTAL,TRANSPORTATION,,,
1990,AK,Alaska,"1,661,309","1,972,116","459,283","161,130","4,253,839",0,,,
1990,AL,Alabama,"20,718,679","10,978,788","27,617,687","610,459","59,925,613",0,,,
1990,AR,Arkansas,"10,557,865","6,075,078","10,126,207","606,143","27,365,296",0,,,
1990,AZ,Arizona,"15,377,684","13,731,291","10,033,741","2,326,872","41,469,585",0,,,
1990,CA,California,"66,574,670","79,691,298","55,891,513","8,935,441","211,092,921",0,,,
1990,CO,Colorado,"9,787,279","13,553,025","6,586,860","867,424","30,794,589",0,,,
1990,CT,Connecticut,"10,375,882","10,342,476","6,099,932","368,947","27,187,240",0,,,
1990,DC,District of Columbia,"1,480,356","5,073,157","2,976,219","318,713","9,848,445",0,,,
1990,DE,Delaware,"2,651,447","2,310,713","3,271,591","50,114","8,283,868",0,,,
1990,FL,Florida,"71,114,670","51,342,235","16,604,581","4,473,395","143,534,878",0,,,
1990,GA,Georgia,"29,932,836","22,867,547","26,717,324","922,408","80,440,115",0,,,
1990,HI,Hawaii,"2,323,950","2,194,417","3,733,754","58,419","8,310,540",0,,,
1990,IA,Iowa,"10,513,101","6,727,380","11,392,481","804,416","29,437,380",0,,,
1990,ID,Idaho,"5,626,311","4,894,063","7,165,289","317,759","18,003,422",0,,,
1990,IL,Illinois,"32,871,442","31,734,448","39,298,520","7,672,368","111,576,774",0,,,
1990,IN,Indiana,"22,110,950","15,501,742","35,743,097","626,429","73,982,218",0,,,
1990,KS,Kansas,"9,514,697","9,169,289","8,087,146","377,638","27,148,766",0,,,
1990,KY,Kentucky,"16,813,545","9,252,218","32,543,260","2,487,853","61,096,873",0,,,
1990,LA,Louisiana,"21,433,524","13,814,111","25,861,968","2,716,288","63,825,890",0,,,
1990,MA,Massachusetts,"15,581,196","18,565,267","10,156,904","1,138,304","45,441,672",0,,,
1990,MD,Maryland,"19,101,665","10,452,013","19,308,301","671,751","49,533,729",0,,,
1990,ME,Maine,"3,932,267","2,672,724","4,750,046","173,942","11,528,975",0,,,
1990,MI,Michigan,"25,318,851","20,609,560","35,062,021","1,376,437","82,366,870",0,,,
1990,MN,Minnesota,"14,857,555","8,085,871","23,496,826","726,659","47,166,914",0,,,
1990,MO,Missouri,"21,652,353","18,468,963","12,937,381","865,938","53,924,638",0,,,
1990,MS,Mississippi,"12,265,641","6,746,134","12,454,455","660,849","32,127,077",0,,,
1990,MT,Montana,"3,358,385","2,737,526","6,529,327","499,346","13,124,583",0,,,
1990,NC,North Carolina,"33,144,041","23,834,909","31,264,698","1,680,838","89,924,487",0,,,
1990,ND,North Dakota,"2,954,024","1,794,510","1,759,713","505,606","7,013,849",0,,,
1990,NE,Nebraska,"6,799,606","5,086,141","4,618,082","1,364,424","17,868,252",0,,,
1990,NH,New Hampshire,"3,444,196","2,010,427","3,418,392","106,601","8,979,614",0,,,
1990,NJ,New Jersey,"20,497,981","26,838,616","15,040,847","479,244","62,856,686",0,,,
1990,NM,New Mexico,"3,565,533","4,464,123","4,412,882","1,378,224","13,820,760",0,,,
1990,NV,Nevada,"5,539,534","3,865,559","6,262,803","683,998","16,351,894",0,,,
1990,NY,New York,"38,574,309","46,921,091","31,929,348","11,899,687","129,324,439",0,,,
1990,OH,Ohio,"37,889,449","30,540,856","69,681,658","4,353,507","142,465,472",0,,,
1990,OK,Oklahoma,"17,077,367","11,633,982","11,763,695","2,029,174","42,504,220",0,,,
1990,OR,Oregon,"15,379,614","11,319,210","15,498,134","780,487","42,977,443",0,,,
1990,PA,Pennsylvania,"38,164,153","29,159,184","45,991,880","1,435,443","114,750,660",0,,,
1990,RI,Rhode Island,"2,376,295","2,492,126","1,354,199","196,356","6,418,978",0,,,
1990,SC,South Carolina,"18,257,716","11,926,736","24,701,256","766,080","55,651,790",0,,,
1990,SD,South Dakota,"2,866,176","1,450,044","1,656,961","360,714","6,333,893",0,,,
1990,TN,Tennessee,"28,756,837","12,127,835","35,312,602","947,496","77,144,770",0,,,
1990,TX,Texas,"82,547,570","62,238,154","84,086,943","8,542,460","237,415,126",0,,,
1990,UT,Utah,"4,246,106","4,514,613","5,766,212","874,744","15,401,673",0,,,
1990,VA,Virginia,"28,129,554","20,213,040","16,398,544","7,955,131","72,696,270",0,,,
