"YEAR","ST","STATE","RESIDENTIAL","COMMERCIAL","INDUSTRIAL","OTHER","TOTAL","TRANSPORTATION"
1990,"AK","Alaska",1661311,1972116,459282,161131,4253840,0
1990,"AL","Alabama",20718677,10978790,27617687,610459,59925613,0
1990,"AR","Arkansas",10557866,6075079,10126208,606143,27365296,0
1990,"AZ","Arizona",15377684,13731290,10033740,2326871,41469585,0
1990,"CA","California",66574670,79691297,55891513,8935442,211092922,0
1990,"CO","Colorado",9787280,13553026,6586859,867423,30794588,0
1990,"CT","Connecticut",10375882,10342476,6099933,368947,27187238,0
1990,"DC","District of Columbia",1480356,5073157,2976219,318713,9848445,0
1990,"DE","Delaware",2651448,2310713,3271592,50114,8283867,0
1990,"FL","Florida",71114670,51342236,16604579,4473393,143534878,0
1990,"GA","Georgia",29932837,22867547,26717324,922408,80440116,0
1990,"HI","Hawaii",2323950,2194416,3733752,58419,8310537,0
1990,"IA","Iowa",10513101,6727381,11392481,804416,29437379,0
1990,"ID","Idaho",5626311,4894064,7165289,317758,18003422,0
1990,"IL","Illinois",32871442,31734447,39298519,7672368,111576776,0
1990,"IN","Indiana",22110951,15501743,35743096,626429,73982219,0
1990,"KS","Kansas",9514696,9169287,8087146,377638,27148767,0
1990,"KY","Kentucky",16813546,9252216,32543259,2487853,61096874,0
1990,"LA","Louisiana",21433523,13814112,25861967,2716288,63825890,0
1990,"MA","Massachusetts",15581197,18565266,10156905,1138304,45441672,0
1990,"MD","Maryland",19101665,10452013,19308301,671751,49533730,0
1990,"ME","Maine",3932266,2672723,4750044,173942,11528975,0
1990,"MI","Michigan",25318849,20609561,35062022,1376437,82366869,0
1990,"MN","Minnesota",14857556,8085873,23496827,726659,47166915,0
1990,"MO","Missouri",21652354,18468962,12937381,865940,53924637,0
1990,"MS","Mississippi",12265641,6746134,12454453,660849,32127077,0
1990,"MT","Montana",3358385,2737526,6529326,499346,13124583,0
1990,"NC","North Carolina",33144040,23834909,31264700,1680838,89924487,0
1990,"ND","North Dakota",2954024,1794510,1759711,505605,7013850,0
1990,"NE","Nebraska",6799606,5086141,4618083,1364422,17868252,0
1990,"NH","New Hampshire",3444195,2010427,3418391,106601,8979614,0
1990,"NJ","New Jersey",20497980,26838617,15040847,479243,62856687,0
