,latitude,longitude,plant_name,total_cap,plant_types_all,plant_caps_all,plant_type,renewable,state_long
0,33.458665,-87.356823,Bankhead Dam,56,hydro,56,hydro,TRUE,Alabama
1,31.0069,-88.0103,Barry,2574.5,"coal,natural_gas","1612.5,962",coal,FALSE,Alabama
2,32.583889,-86.283056,Walter Bouldin Dam,225.9,hydro,225.9,hydro,TRUE,Alabama
3,34.0128,-85.9708,Gadsden,130,coal,130,coal,FALSE,Alabama
4,33.644344,-87.196486,Gorgas,1241,coal,1241,coal,FALSE,Alabama
5,31.7569,-106.375,Copper,62,natural_gas,62,natural_gas,FALSE,Texas
6,32.6017,-87.7811,Greene County,1237,"coal,natural_gas","497,740",coal,FALSE,Alabama
7,33.7845,-86.0524,H Neely Henry Dam,70,hydro,70,hydro,TRUE,Alabama
8,33.2553,-87.4495,Holt Dam,45,hydro,45,hydro,TRUE,Alabama
9,32.6189,-86.2548,Jordan Dam,100,hydro,100,hydro,TRUE,Alabama
10,33.425878,-86.337547,Logan Martin Dam,135,hydro,135,hydro,TRUE,Alabama
11,32.9633,-86.5187,Lay Dam,178.8,hydro,178.8,hydro,TRUE,Alabama
12,32.680394,-85.911442,Martin Dam,186,hydro,186,hydro,TRUE,Alabama
13,32.806025,-86.444892,Mitchell Dam,165.9,hydro,165.9,hydro,TRUE,Alabama
14,33.9406,-87.1077,Lewis Smith Dam,180,hydro,180,hydro,TRUE,Alabama
15,32.535436,-85.887614,Thurlow Dam,78,hydro,78,hydro,TRUE,Alabama
16,34.172142,-85.753806,Weiss Dam,74.1,hydro,74.1,hydro,TRUE,Alabama
17,32.5743,-85.8901,Yates Dam,47,hydro,47,hydro,TRUE,Alabama
18,33.244211,-86.458056,E C Gaston,1878,"coal,petroleum","1862,16",coal,FALSE,Alabama
19,44.0525,-94.4153,Madelia,10.3,natural_gas,10.3,natural_gas,FALSE,Minnesota
20,39.134259,-120.953341,Rollins,12.1,hydro,12.1,hydro,TRUE,California
21,32.100881,-87.399767,Millers Ferry,90,hydro,90,hydro,TRUE,Alabama
22,34.7042,-87.1189,Browns Ferry,3309.4,nuclear,3309.4,nuclear,FALSE,Alabama
23,34.7439,-87.8486,Colbert,1547.2,"coal,natural_gas","1,184,363.20",coal,FALSE,Alabama
24,34.421272,-86.393931,Guntersville,122.7,hydro,122.7,hydro,TRUE,Alabama
25,34.8069,-87.3819,Wheeler Dam,398.2,hydro,398.2,hydro,TRUE,Alabama
26,34.883022,-85.755253,Widows Creek,938,coal,938,coal,FALSE,Alabama
27,32.030556,-93.569167,Dolet Hills,638,coal,638,coal,FALSE,Louisiana
28,31.4033,-86.479469,Gantt,2.8,hydro,2.8,hydro,TRUE,Alabama
29,37.8833,-84.1017,J K Smith,784,natural_gas,784,natural_gas,FALSE,Kentucky
30,31.361146,-86.518307,Point A,5.4,hydro,5.4,hydro,TRUE,Alabama
31,31.488019,-87.910747,Charles R Lowman,553,coal,553,coal,FALSE,Alabama
32,40.854765,-98.348222,Platte,100,coal,100,coal,FALSE,Nebraska
33,40.580872,-98.312437,Whelan Energy Center,309,coal,309,coal,FALSE,Nebraska
34,58.3176,-134.101,Annex Creek,3.6,hydro,3.6,hydro,TRUE,Alaska
35,58.3107,-134.4174,Gold Creek,9.7,"petroleum,hydro","8.1,1.6",petroleum,FALSE,Alaska
36,58.3536,-134.4953,Lemon Creek,57.5,petroleum,57.5,petroleum,FALSE,Alaska
37,58.3269,-134.4631,Salmon Creek 1,5.2,hydro,5.2,hydro,TRUE,Alaska
38,59.4545,-135.3131,Skagway,4.4,"petroleum,hydro","3.4,1",petroleum,FALSE,Alaska
39,59.2358,-135.445,Haines,6.2,petroleum,6.2,petroleum,FALSE,Alaska
40,55.613892,-131.35417,Swan Lake,22.4,hydro,22.4,hydro,TRUE,Alaska
41,57.6861,-152.895,Terror Lake,22.4,hydro,22.4,hydro,TRUE,Alaska
42,34.01135,-118.4168,Venice,10.1,hydro,10.1,hydro,TRUE,California
43,61.2221,-149.8661,Anchorage 1,90.4,"natural_gas,petroleum","88.4,2",natural_gas,FALSE,Alaska
44,61.475211,-149.15009,Eklutna Hydro Project,44.4,hydro,44.4,hydro,TRUE,Alaska
45,58.1415,-133.737,Snettisham,78,hydro,78,hydro,TRUE,Alaska
46,64.847743,-147.735063,Aurora Energy LLC Chena,32.4,coal,32.4,coal,FALSE,Alaska
47,55.344641,-131.633425,Ketchikan,4.2,hydro,4.2,hydro,TRUE,Alaska
48,55.3633,-131.6778,S W Bailey,23,petroleum,23,petroleum,FALSE,Alaska
49,35.4159,-108.082,Escalante,247,coal,247,coal,FALSE,New Mexico
50,41.949,-74.2063,Ashokan,3.8,hydro,3.8,hydro,TRUE,New York
51,64.505924,-165.429384,Snake River,17.8,"petroleum,wind","16,1.8",petroleum,FALSE,Alaska
52,56.81104,-132.957091,Petersburg,12.6,"petroleum,hydro","11,1.6",petroleum,FALSE,Alaska
53,60.1083,-149.4417,Seward,15.6,petroleum,15.6,petroleum,FALSE,Alaska
54,57.0516,-135.2297,Blue Lake,7,hydro,7,hydro,TRUE,Alaska
55,56.4522,-132.3683,Wrangell,8.5,petroleum,8.5,petroleum,FALSE,Alaska
56,61.1861,-151.0356,Beluga,344.4,natural_gas,344.4,natural_gas,FALSE,Alaska
57,47.079722,-122.365,Frederickson,134,natural_gas,134,natural_gas,FALSE,Washington
58,33.466477,-111.781064,South Consolidated,1.4,hydro,1.4,hydro,TRUE,Arizona
59,37.147926,-119.2567,J S Eastwood,199.8,pumped_storage,199.8,pumped_storage,FALSE,California
60,37.9308,-100.9725,Holcomb,358.8,coal,358.8,coal,FALSE,Kansas
61,59.6708,-157.89,Dillingham,6.6,petroleum,6.6,petroleum,FALSE,Alaska
62,34.9394,-110.3033,Cholla,1027,coal,1027,coal,FALSE,Arizona
63,31.364122,-109.5538,Douglas,15,petroleum,15,petroleum,FALSE,Arizona
64,33.4225,-111.9122,Ocotillo,320.6,"natural_gas,solar","320,0.6",natural_gas,FALSE,Arizona
65,33.4417,-112.1583,West Phoenix,952,natural_gas,952,natural_gas,FALSE,Arizona
66,32.5517,-111.3,Saguaro,176,natural_gas,176,natural_gas,FALSE,Arizona
67,32.7214,-114.7106,Yucca,328,"natural_gas,petroleum","257,71",natural_gas,FALSE,Arizona
68,32.252273,-110.992148,Demoss Petrie,75,natural_gas,75,natural_gas,FALSE,Arizona
69,32.16,-110.9047,H Wilson Sundt Generating Station,470,"coal,natural_gas","156,314",coal,FALSE,Arizona
70,34.0825,-99.1753,Oklaunion,650,coal,650,coal,FALSE,Texas
71,33.371389,-80.113333,Cross,2350,coal,2350,coal,FALSE,South Carolina
72,29.733056,-81.632778,Seminole,1309,coal,1309,coal,FALSE,Florida
73,33.5561,-112.2153,Agua Fria,626.2,"natural_gas,solar","626,0.2",natural_gas,FALSE,Arizona
74,33.439375,-111.946052,Crosscut,33,"natural_gas,hydro","30,3",natural_gas,FALSE,Arizona
75,33.5907,-111.344,Horse Mesa,149,"hydro,pumped_storage","30,119",hydro,TRUE,Arizona
76,33.3556,-111.9353,Kyrene,525,natural_gas,525,natural_gas,FALSE,Arizona
77,33.5536,-111.4431,Mormon Flat,68.8,"hydro,pumped_storage","11.5,57.3",hydro,TRUE,Arizona
78,33.671104,-111.161786,Roosevelt,36,hydro,36,hydro,TRUE,Arizona
79,33.5661,-111.536,Stewart Mountain,13,hydro,13,hydro,TRUE,Arizona
80,37.62936,-120.93139,McClure,112,petroleum,112,petroleum,FALSE,California
81,35.197044,-114.570669,Davis Dam,254.8,hydro,254.8,hydro,TRUE,Arizona
82,36.936614,-111.483872,Glen Canyon Dam,1312,hydro,1312,hydro,TRUE,Arizona
83,36.01551,-114.738006,Hoover Dam,1039.4,hydro,1039.4,hydro,TRUE,Arizona
84,40.493631,-111.312506,Lake Creek,1,hydro,1,hydro,TRUE,Utah
85,32.0603,-109.8931,Apache Station,548.5,"coal,natural_gas","350,198.50",coal,FALSE,Arizona
86,37.611461,-120.594678,Turlock Lake,3.3,hydro,3.3,hydro,TRUE,California
87,37.621536,-120.746247,Hickman,1,hydro,1,hydro,TRUE,California
88,36.190278,-95.2894,GREC,1010,coal,1010,coal,FALSE,Oklahoma
89,34.4425,-93.0262,Carpenter,62.4,hydro,62.4,hydro,TRUE,Arkansas
90,34.4341,-92.9049,Lake Catherine,519.7,natural_gas,519.7,natural_gas,FALSE,Arkansas
91,34.635997,-92.409602,Mabelvale,26.5,natural_gas,26.5,natural_gas,FALSE,Arkansas
92,35.6975,-90.0053,Osceola,4.8,petroleum,4.8,petroleum,FALSE,Arkansas
93,34.4272,-92.8941,Remmel,11.5,hydro,11.5,hydro,TRUE,Arkansas
94,40.45193,-121.86215,Volta 2,0.9,hydro,0.9,hydro,TRUE,California
95,36.421507,-93.847373,Beaver,128.8,hydro,128.8,hydro,TRUE,Arkansas
96,34.211913,-93.110963,Degray,68,"hydro,pumped_storage","40,28",hydro,TRUE,Arkansas
97,35.5207,-91.9953,Greers Ferry Lake,94,hydro,94,hydro,TRUE,Arkansas
98,36.3858,-90.1867,Municipal Light,7.2,petroleum,7.2,petroleum,FALSE,Arkansas
99,34.148427,-93.715168,Narrows,29.1,hydro,29.1,hydro,TRUE,Arkansas
100,36.2491,-92.2401,Norfork,92,hydro,92,hydro,TRUE,Arkansas
101,34.570984,-93.194425,Blakely Mountain,75,hydro,75,hydro,TRUE,Arkansas
102,36.3635,-92.5763,Bull Shoals,390.8,hydro,390.8,hydro,TRUE,Arkansas
103,35.2503,-93.1686,Dardanelle,160.8,hydro,160.8,hydro,TRUE,Arkansas
104,35.462382,-93.804926,Thomas Fitzhugh,162,natural_gas,162,natural_gas,FALSE,Arkansas
105,35.260102,-91.363426,Carl Bailey,122,natural_gas,122,natural_gas,FALSE,Arkansas
106,33.5648,-92.7917,McClellan,134,natural_gas,134,natural_gas,FALSE,Arkansas
107,40.1719,-88.8339,Clinton Power Station,1065,nuclear,1065,nuclear,FALSE,Illinois
108,30.4308,-81.5508,St Johns River Power Park,1252,coal,1252,coal,FALSE,Florida
109,38.23926,-95.68978,Wolf Creek Generating Station,1175,nuclear,1175,nuclear,FALSE,Kansas
110,39.215979,-120.80355,Alta Powerhouse,1,hydro,1,hydro,TRUE,California
111,38.071944,-120.539444,Angels,0.7,hydro,0.7,hydro,TRUE,California
112,36.909137,-119.087712,Balch 1,34,hydro,34,hydro,TRUE,California
113,36.908907,-119.087556,Balch 2,105,hydro,105,hydro,TRUE,California
114,40.007445,-121.249438,Belden,125,hydro,125,hydro,TRUE,California
115,39.91062,-121.327692,Bucks Creek,65,hydro,65,hydro,TRUE,California
116,40.175656,-121.190663,Butt Valley,41,hydro,41,hydro,TRUE,California
117,40.085476,-121.148241,Caribou 1,75,hydro,75,hydro,TRUE,California
118,40.085997,-121.149373,Caribou 2,120,hydro,120,hydro,TRUE,California
119,39.788877,-121.657383,Centerville,6.4,hydro,6.4,hydro,TRUE,California
120,38.771764,-120.813239,Chili Bar,7,hydro,7,hydro,TRUE,California
121,40.404645,-122.121904,Coleman,13,hydro,13,hydro,TRUE,California
122,40.570817,-122.02093,Cow Creek,1.8,hydro,1.8,hydro,TRUE,California
123,39.825907,-121.409687,Cresta,70,hydro,70,hydro,TRUE,California
124,39.869265,-121.631819,De Sabla,18.5,hydro,18.5,hydro,TRUE,California
125,39.29807,-120.8443,Deer Creek,5.7,hydro,5.7,hydro,TRUE,California
126,39.256873,-120.767437,Drum 1,54,hydro,54,hydro,TRUE,California
127,39.257388,-120.767046,Drum 2,49.5,hydro,49.5,hydro,TRUE,California
128,39.216985,-120.835587,Dutch Flat,22,hydro,22,hydro,TRUE,California
129,38.793574,-120.619152,El Dorado,20.6,hydro,20.6,hydro,TRUE,California
130,38.330985,-120.669901,Electra,98,hydro,98,hydro,TRUE,California
131,36.927424,-119.02025,Haas,144,hydro,144,hydro,TRUE,California
132,38.956985,-121.041932,Halsey,11,hydro,11,hydro,TRUE,California
133,40.268712,-121.089479,Hamilton Branch,4.8,hydro,4.8,hydro,TRUE,California
134,40.929297,-121.544462,Hat Creek 1,8.5,hydro,8.5,hydro,TRUE,California
135,40.960675,-121.548657,Hat Creek 2,8.5,hydro,8.5,hydro,TRUE,California
136,40.7415,-124.2103,Humboldt Bay,163.4,natural_gas,163.4,natural_gas,FALSE,California
137,40.400988,-121.965502,Inskip,8,hydro,8,hydro,TRUE,California
138,40.992295,-121.975182,James B Black,172,hydro,172,hydro,TRUE,California
139,37.092486,-119.552826,Kerckhoff,25.2,hydro,25.2,hydro,TRUE,California
140,40.677827,-121.873253,Kilarc,3.2,hydro,3.2,hydro,TRUE,California
141,36.888166,-119.158777,Kings River,52,hydro,52,hydro,TRUE,California
142,39.698755,-121.57096,Lime Saddle,2,hydro,2,hydro,TRUE,California
143,37.52301,-120.329905,Merced Falls,3.5,hydro,3.5,hydro,TRUE,California
144,36.804837,-121.782241,Dynegy Moss Landing Power Plant,2529,natural_gas,2529,natural_gas,FALSE,California
145,38.147093,-120.446396,Murphys,1.7,hydro,1.7,hydro,TRUE,California
146,39.2364,-121.271741,Narrows,12,hydro,12,hydro,TRUE,California
147,38.032103,-120.326537,Phoenix,2,hydro,2,hydro,TRUE,California
148,40.99084,-121.498243,Pit 1,61,hydro,61,hydro,TRUE,California
149,40.997448,-121.748139,Pit 3,69.9,hydro,69.9,hydro,TRUE,California
150,40.986361,-121.84944,Pit 4,95,hydro,95,hydro,TRUE,California
151,40.986197,-121.977594,Pit 5,160,hydro,160,hydro,TRUE,California
152,40.922568,-121.992906,Pit 6,80,hydro,80,hydro,TRUE,California
153,40.847462,-121.990798,Pit 7,113,hydro,113,hydro,TRUE,California
154,38.039168,-121.894469,Pittsburg Power,1311,natural_gas,1311,natural_gas,FALSE,California
155,39.722892,-121.469814,Poe,120,hydro,120,hydro,TRUE,California
156,39.361786,-123.127934,Potter Valley,9.2,hydro,9.2,hydro,TRUE,California
157,39.90521,-121.345226,Rock Creek,121,hydro,121,hydro,TRUE,California
158,37.203233,-119.497508,San Joaquin 2,3.2,hydro,3.2,hydro,TRUE,California
159,37.253718,-119.519352,San Joaquin 3,4.2,hydro,4.2,hydro,TRUE,California
160,38.497914,-120.21811,Salt Springs,44,hydro,44,hydro,TRUE,California
161,40.395396,-121.879186,South,7,hydro,7,hydro,TRUE,California
162,39.324613,-120.644807,Spaulding 1,7,hydro,7,hydro,TRUE,California
163,39.324592,-120.645375,Spaulding 2,4.4,hydro,4.4,hydro,TRUE,California
164,39.337679,-120.635467,Spaulding 3,5.8,hydro,5.8,hydro,TRUE,California
165,38.18653,-120.11168,Spring Gap,7,hydro,7,hydro,TRUE,California
166,38.139048,-120.370325,Stanislaus,91,hydro,91,hydro,TRUE,California
167,38.777,-122.745,Geysers Unit 5-20,770,geothermal,770,geothermal,TRUE,California
168,38.449291,-120.492645,Tiger Creek,58,hydro,58,hydro,TRUE,California
169,36.163076,-118.707104,Tule River,6.4,hydro,6.4,hydro,TRUE,California
170,40.459111,-121.86708,Volta 1,9,hydro,9,hydro,TRUE,California
171,38.420898,-120.549572,West Point,14.5,hydro,14.5,hydro,TRUE,California
172,38.889862,-121.098525,Wise,17.2,hydro,17.2,hydro,TRUE,California
173,37.15105,-119.504724,A G Wishon,20,hydro,20,hydro,TRUE,California
174,41.978914,-122.335317,Copco 1,26.4,hydro,26.4,hydro,TRUE,California
175,41.975716,-122.358127,Copco 2,35.6,hydro,35.6,hydro,TRUE,California
176,41.985605,-122.360455,Fall Creek,1.9,hydro,1.9,hydro,TRUE,California
177,41.932981,-122.43678,Iron Gate,18.8,hydro,18.8,hydro,TRUE,California
178,31.4219,-96.2525,Limestone,1689,coal,1689,coal,FALSE,Texas
179,38.4889,-112.8533,Blundell,34,geothermal,34,geothermal,TRUE,Utah
180,32.7958,-116.9722,El Cajon,16,natural_gas,16,natural_gas,FALSE,California
181,33.1361,-117.3364,Encina,964,natural_gas,964,natural_gas,FALSE,California
182,32.834,-117.1338,Kearny,136,natural_gas,136,natural_gas,FALSE,California
183,32.8761,-117.1664,Miramar,36,natural_gas,36,natural_gas,FALSE,California
184,56.986284,-135.12275,Green Lake,18.6,hydro,18.6,hydro,TRUE,Alaska
185,32.673097,-115.392026,Drop 5,3.6,hydro,3.6,hydro,TRUE,California
186,33.7688,-118.1009,AES Alamitos LLC,1997,natural_gas,1997,natural_gas,FALSE,California
187,34.0969,-118.4795,Sepulveda Canyon,8.5,hydro,8.5,hydro,TRUE,California
188,37.2042,-119.2396,Big Creek 1,88.4,hydro,88.4,hydro,TRUE,California
189,37.2,-119.3069,Big Creek 2,66.6,hydro,66.6,hydro,TRUE,California
190,37.148517,-119.386623,Big Creek 3,173.5,hydro,173.5,hydro,TRUE,California
191,37.139,-119.4898,Big Creek 4,100,hydro,100,hydro,TRUE,California
192,37.2096,-119.3289,Big Creek 8,70.8,hydro,70.8,hydro,TRUE,California
193,37.200062,-119.30681,Big Creek 2A,100,hydro,100,hydro,TRUE,California
194,37.273581,-118.573339,Bishop Creek 2,7.3,hydro,7.3,hydro,TRUE,California
195,37.301962,-118.531957,Bishop Creek 3,7.9,hydro,7.9,hydro,TRUE,California
