latitude,longitude,plant_name,total_cap,plant_types_all,plant_caps_all,plant_type,renewable,state_long
33.458665,-87.356823,Bankhead Dam,56,hydro,56,hydro,true,Alabama
31.0069,-88.0103,Barry,2574.5,"coal,natural_gas","1612.5,962",coal,false,Alabama
32.583889,-86.283056,Walter Bouldin Dam,225.9,hydro,225.9,hydro,true,Alabama
34.0128,-85.9708,Gadsden,130,coal,130,coal,false,Alabama
33.644344,-87.196486,Gorgas,1241,coal,1241,coal,false,Alabama
31.7569,-106.375,Copper,62,natural_gas,62,natural_gas,false,Texas
32.6017,-87.7811,Greene County,1237,"coal,natural_gas","497,740",coal,false,Colorado
33.7845,-86.0524,H Neely Henry Dam,70,hydro,70,hydro,true,Alabama
33.2553,-87.4495,Holt Dam,45,hydro,45,hydro,true,Alabama
32.6189,-86.2548,Jordan Dam,100,hydro,100,hydro,true,Alabama
33.425878,-86.337547,Logan Martin Dam,135,hydro,135,hydro,true,Alabama
32.9633,-86.5187,Lay Dam,178.8,hydro,178.8,hydro,true,Alabama
32.680394,-85.911442,Martin Dam,186,hydro,186,hydro,true,California
32.806025,-86.444892,Mitchell Dam,165.9,hydro,165.9,hydro,true,Alabama
33.9406,-87.1077,Lewis Smith Dam,180,hydro,180,hydro,true,Alabama
32.535436,-85.887614,Thurlow Dam,78,hydro,78,hydro,true,California
34.172142,-85.753806,Weiss Dam,74.1,hydro,74.1,hydro,true,Alabama
32.5743,-85.8901,Yates Dam,47,hydro,47,hydro,true,Alabama
33.244211,-86.458056,E C Gaston,1878,"coal,petroleum","1862,16",coal,false,Alabama
44.0525,-94.4153,Madelia,10.3,natural_gas,10.3,natural_gas,false,Nebraska
39.134259,-120.953341,Rollins,12.1,hydro,12.1,hydro,true,California
32.100881,-87.399767,Millers Ferry,90,hydro,90,hydro,true,Alabama
34.7042,-87.1189,Browns Ferry,3309.4,nuclear,3309.4,nuclear,false,Alabama
34.7439,-87.8486,Colbert,1547.2,"coal,natural_gas","1184,363.2",coal,false,Alabama
34.421272,-86.393931,Guntersville,122.7,hydro,122.7,hydro,true,Alabama
34.8069,-87.3819,Wheeler Dam,398.2,hydro,398.2,hydro,true,Alabama
34.883022,-85.755253,Widows Creek,938,coal,938,coal,false,Alabama
32.030556,-93.569167,Dolet Hills,638,coal,638,coal,false,Louisiana
31.4033,-86.479469,Gantt,2.8,hydro,2.8,hydro,true,Alabama
37.8833,-84.1017,J K Smith,784,natural_gas,784,natural_gas,false,Kentucky
31.361146,-86.518307,Point A,5.4,hydro,5.4,hydro,true,Alabama
31.488019,-87.910747,Charles R Lowman,553,coal,553,coal,false,Alabama
40.854765,-98.348222,Platte,100,coal,100,coal,false,Nebraska
40.580872,-98.312437,Whelan Energy Center,309,coal,309,coal,false,Nebraska
58.3176,-134.101,Annex Creek,3.6,hydro,3.6,hydro,true,Alaska
58.3107,-134.4174,Gold Creek,9.7,"petroleum,hydro","8.1,1.6",petroleum,false,Alaska
58.3536,-134.4953,Lemon Creek,57.5,petroleum,57.5,petroleum,false,California
58.3269,-134.4631,Salmon Creek 1,5.2,hydro,5.2,hydro,true,Alaska
59.4545,-135.3131,Skagway,4.4,"petroleum,hydro","3.4,1",petroleum,false,Alaska
59.2358,-135.445,Haines,6.2,petroleum,6.2,petroleum,false,Alaska
55.613892,-131.35417,Swan Lake,22.4,hydro,22.4,hydro,true,Alaska
57.6861,-152.895,Terror Lake,22.4,hydro,22.4,hydro,true,Alaska
34.01135,-118.4168,Venice,10.1,hydro,10.1,hydro,true,California
61.2221,-149.8661,Anchorage 1,90.4,"natural_gas,petroleum","88.4,2",natural_gas,false,Alaska
61.475211,-149.15009,Eklutna Hydro Project,44.4,hydro,44.4,hydro,true,Alaska
58.1415,-133.737,Snettisham,78,hydro,78,hydro,true,Alaska
64.847743,-147.735063,Aurora Energy LLC Chena,32.4,coal,32.4,coal,false,Alaska
55.344641,-131.633425,Ketchikan,4.2,hydro,4.2,hydro,true,Alaska
55.3633,-131.6778,S W Bailey,23,petroleum,23,petroleum,false,Alaska
35.4159,-108.082,Escalante,247,coal,247,coal,false,New Mexico
41.949,-74.2063,Ashokan,3.8,hydro,3.8,hydro,true,New York
64.505924,-165.429384,Snake River,17.8,"petroleum,wind","16,1.8",petroleum,false,Alaska
56.81104,-132.957091,Petersburg,12.6,"petroleum,hydro","11,1.6",petroleum,false,Alaska
60.1083,-149.4417,Seward,15.6,petroleum,15.6,petroleum,false,Alaska
57.0516,-135.2297,Blue Lake,7,hydro,7,hydro,true,Alaska
56.4522,-132.3683,Wrangell,8.5,petroleum,8.5,petroleum,false,Alaska
61.1861,-151.0356,Beluga,344.4,natural_gas,344.4,natural_gas,false,Alaska
47.079722,-122.365,Frederickson,134,natural_gas,134,natural_gas,false,Washington
33.466477,-111.781064,South Consolidated,1.4,hydro,1.4,hydro,true,Arizona
37.147926,-119.2567,J S Eastwood,199.8,pumped_storage,199.8,pumped_storage,false,California
37.9308,-100.9725,Holcomb,358.8,coal,358.8,coal,false,Kansas
59.6708,-157.89,Dillingham,6.6,petroleum,6.6,petroleum,false,Alaska
34.9394,-110.3033,Cholla,1027,coal,1027,coal,false,Arizona
31.364122,-109.5538,Douglas,15,petroleum,15,petroleum,false,Arizona
33.4225,-111.9122,Ocotillo,320.6,"natural_gas,solar","320,0.6",natural_gas,false,Arizona
33.4417,-112.1583,West Phoenix,952,natural_gas,952,natural_gas,false,Arizona
32.5517,-111.3,Saguaro,176,natural_gas,176,natural_gas,false,Arizona
32.7214,-114.7106,Yucca,328,"natural_gas,petroleum","257,71",natural_gas,false,Arizona
32.252273,-110.992148,Demoss Petrie,75,natural_gas,75,natural_gas,false,Arizona
32.16,-110.9047,H Wilson Sundt Generating Station,470,"coal,natural_gas","156,314",coal,false,Arizona
34.0825,-99.1753,Oklaunion,650,coal,650,coal,false,California
33.371389,-80.113333,Cross,2350,coal,2350,coal,false,South Carolina
29.733056,-81.632778,Seminole,1309,coal,1309,coal,false,Florida
33.5561,-112.2153,Agua Fria,626.2,"natural_gas,solar","626,0.2",natural_gas,false,Arizona
33.439375,-111.946052,Crosscut,33,"natural_gas,hydro","30,3",natural_gas,false,Arizona
33.5907,-111.344,Horse Mesa,149,"hydro,pumped_storage","30,119",hydro,true,Arizona
33.3556,-111.9353,Kyrene,525,natural_gas,525,natural_gas,false,California
33.5536,-111.4431,Mormon Flat,68.8,"hydro,pumped_storage","11.5,57.3",hydro,true,Arizona
33.671104,-111.161786,Roosevelt,36,hydro,36,hydro,true,Arizona
33.5661,-111.536,Stewart Mountain,13,hydro,13,hydro,true,Arizona
37.62936,-120.93139,McClure,112,petroleum,112,petroleum,false,California
35.197044,-114.570669,Davis Dam,254.8,hydro,254.8,hydro,true,California
36.936614,-111.483872,Glen Canyon Dam,1312,hydro,1312,hydro,true,California
36.01551,-114.738006,Hoover Dam,1039.4,hydro,1039.4,hydro,true,Arizona
40.493631,-111.312506,Lake Creek,1,hydro,1,hydro,true,Utah
32.0603,-109.8931,Apache Station,548.5,"coal,natural_gas","350,198.5",coal,false,Arizona
37.611461,-120.594678,Turlock Lake,3.3,hydro,3.3,hydro,true,California
37.621536,-120.746247,Hickman,1,hydro,1,hydro,true,California
36.190278,-95.2894,GREC,1010,coal,1010,coal,false,Hawaii
34.4425,-93.0262,Carpenter,62.4,hydro,62.4,hydro,true,Arkansas
34.4341,-92.9049,Lake Catherine,519.7,natural_gas,519.7,natural_gas,false,Arkansas
34.635997,-92.409602,Mabelvale,26.5,natural_gas,26.5,natural_gas,false,Arkansas
35.6975,-90.0053,Osceola,4.8,petroleum,4.8,petroleum,false,Arkansas
34.4272,-92.8941,Remmel,11.5,hydro,11.5,hydro,true,Arkansas
40.45193,-121.86215,Volta 2,0.9,hydro,0.9,hydro,true,California
36.421507,-93.847373,Beaver,128.8,hydro,128.8,hydro,true,Arkansas
34.211913,-93.110963,Degray,68,"hydro,pumped_storage","40,28",hydro,true,Arkansas
35.5207,-91.9953,Greers Ferry Lake,94,hydro,94,hydro,true,Arkansas
36.3858,-90.1867,Municipal Light,7.2,petroleum,7.2,petroleum,false,Arkansas
34.148427,-93.715168,Narrows,29.1,hydro,29.1,hydro,true,Arkansas
36.2491,-92.2401,Norfork,92,hydro,92,hydro,true,Arkansas
34.570984,-93.194425,Blakely Mountain,75,hydro,75,hydro,true,Arkansas
36.3635,-92.5763,Bull Shoals,390.8,hydro,390.8,hydro,true,Arkansas
35.2503,-93.1686,Dardanelle,160.8,hydro,160.8,hydro,true,Arkansas
35.462382,-93.804926,Thomas Fitzhugh,162,natural_gas,162,natural_gas,false,Arkansas
35.260102,-91.363426,Carl Bailey,122,natural_gas,122,natural_gas,false,Arkansas
33.5648,-92.7917,McClellan,134,natural_gas,134,natural_gas,false,Arkansas
